ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YBR141C		1.18	1.47	.85	.68	.87	1.02	
YBR142W	MAK5	1.19	1.56	.66	.64	.47	.47	
YBR143C	SUP1	1.02	1.19	.77	.72	.48	.3	
YBR144C		1.69	.99	.76	.57	.7	.78	
YBR145W	ADH5	1.18	1.89	1.3	1.32	1.54	1.25	
YBR146W	MRPS9	1.49	.8	.94	.78	1.45	.89	
YBR147W		1.27	.98	1.05	1.19	8.33	5.56	
YBR148W	YSW1	.79	.9	.93	.76	.98	.78	
YBR149W		1.18	1.11	1.3	1.69	3.57	2.7	
YBR150C		.83	.88	.85	.88	1.03	1.15	
YBR151W		1.09	.97	.97	1.28	2.33	1.39	
YBR152W		.83	1.54	.72	.71	1.54	.98	
YBR153W	RIB7	1.03	1.06	.77	.89	.8	.9	
YBR154C	RPB5	.98	1.22	.81	.76	.74	.45	
YBR155W		.94	.91	.53	.5	.21	.53	
YBR156C		1.03	1.06	.74	.79	.4	.29	
YBR157C		.93	1.3	1.05	1.37	2.38	1.56	
YBR158W		1.11	.76	.47	.51	.38	.38	
YBR159W		1.1	1.41	.88	1.06	.91	.7	
YBR160W	CDC28	1.47	.97	1.09	.98	1.22	.61	
YBR161W		1.02	1.16	.98	.54	1.02	1.05	
YBR162C		.95	1.47	1.06	.97	.7	.34	
YBR162W-A	YSY6	1.32	1.52	1.18	.89	.72	.48	
YBR163W		.96	1.11	.77	.58	.88	.5	
YBR164C	ARL1	1.22	1.59	1.11	.81	1.28	.65	
YBR165W	UBS1	.88	.81	.75	.66	1.09	.84	
YBR166C	TYR1	1.15	1.15	.89	.63	1.1	.83	
YBR167C		.88	1.04	.93	.77	1.54	.72	
YBR168W		1.04	1.19	1.01	.67	1.32	1.1	
YBR169C	SSE2	.96	1.03	1.59	1.75	4.55	3.85	
YBR170C	NPL4	.94	1.3	.91	.54	1.39	1.14	
YBR171W	SEC66	1	.98	.76	.85	.82	.37	
YBR172C	SMY2	1.09	1.06	.71	.79	.78	.58	
YBR173C		.9	.71	.63	.75	1.18	.5	
YBR174C		1.08	1.2	.83	.97	.8	.76	
YBR175W		.86	1.02	.77	.76	1.03	.62	
YBR176W		.97	1.27	.96	.85	1.25	1.03	
YBR177C		.83	1.1	1.04	1.27	2.44	1.22	
YBR178W		.95	1.02	.9	.94	1.15	1.12	
YBR179C		.74	.85	.88	.88	1.05	1.25	
YBR180W		.85	1.2	.87	.98	1.47	1.18	
YBR181C	RPS101	1.16	1.15	1.06	1.09	.33	.17	
YBR182C		.71	1.02	.68	.74	1.09	.87	
YBR183W		.76	1.32	2.08	1.82	5.88	2.7	
YBR184W		1.15	1.19	1	.61	1.01	.98	
YBR185C	MBA1	.8	1.1	1.01	.91	1.82	1.04	
YBR186W		1.82	1.16	.68	.5	.5	.5	
YBR187W		1.14	1.56	1.16	.88	.38	.26	
YBR188C		1.19	1.08	.93	.67	.75	.8	
YBR189W	SUP46	.81	1.02	.83	.68	.25	.16	
YBR190W		1.61	.82	.79	.63	.45	1.01	
YBR191W	URP1	.84	1.04	.85	.68	.3	.16	
YBR192W	RIM2	1.05	.93	.87	.7	.86	1.2	
YBR193C		.94	1.03	.96	.74	1.18	.65	
YBR194W		1.22	.99	.91	.72	1.45	1	
YBR195C	MSI1	.81	1.04	.79	.68	.98	.62	
YBR196C	PGI1	1.72	2.17	1.39	1.37	.92	.71	
YBR197C		.9	.99	.86	.74	.99	.55	
YBR198C	TAF90	1.15	1.05	.86	.88	.98	.66	
YBR199W	KTR4	.93	1.02	1.06	1.22	1.01	.68	
YBR200W	BEM1	1.19	1.04	.92	.99	1.25	1.03	
YBR201W	DER1	.75	1.05	.92	.79	1.45	.88	
YBR202W	CDC47	1.01	.71	.59	.56	.57	.42	
YBR203W		.74	.83	.86	.72	3.45	2.5	
YBR204C		.9	1.14	1.41	1.43	2.17	2.17	
YBR205W	KTR3	.99	1.05	.97	.93	.84	.51	
YBR206W		1.1	1.32	.98	1.08	.96	.81	
YBR207W		.99	.96	.87	.74	1.18	.97	
YBR208C	DUR1,2	1.35	1.01	.93	.74	1.1	.96	
