ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YBR226C		.99	.89	.88	.92	1.1	1.16	
YBR227C		.56	1.08	.63	.63	1.32	.85	
YBR228W		.93	1.06	.89	.79	1.06	.91	
YBR229C		1.06	1.27	1.09	1.06	.79	.79	
YBR230C		.88	1.27	1.19	1.69	1.85	3.23	
YBR231C		1.39	.81	.92	.57	1.32	.82	
YBR232C		1.28	.84	.79	.7	.78	.81	
YBR233W		1.19	.78	.76	.56	1.08	.54	
YBR234C		1.19	1.45	1.18	.96	1.49	.96	
YBR235W		1.12	.93	.88	.65	.81	.85	
YBR236C	ABD1	1.52	1.3	1.05	.82	.91	.75	
YBR237W	PRP5	1.09	.79	.79	.64	.98	.76	
YBR238C		1.92	1.3	.58	.51	.35	.2	
YBR239C		1.15	.84	.64	.54	1.27	.89	
YBR240C		2.63	1.01	.91	.69	1.1	1.18	
YBR241C		1.04	1.33	1.14	.88	5.56	2.94	
YBR242W		1.67	1.2	.87	.72	.52	.57	
YBR243C	TUR1	.89	1.23	1.05	1.02	.7	.44	
YBR244W		1.01	1.35	.98	.92	.74	.51	
YBR245C		.93	1.01	.83	.75	.58	.65	
YBR246W		1.14	1	.74	.71	.81	.49	
YBR247C	ENP1	.86	.95	.44	.49	.43	.15	
YBR248C	HIS7	1.09	1.32	.99	1.03	.85	.34	
YBR249C	ARO4	1.03	1.1	.74	.66	.25	.19	
YBR250W		.85	1.04	.84	.88	1.15	.97	
YBR251W	MRPS5	.84	1	1.11	.8	2	1.11	
YBR252W	DUT1	1.12	1.27	.98	1.04	.69	.45	
YBR253W	SRB6	.82	1.08	.88	.76	1.33	.81	
YBR254C		1.02	1.06	.95	1.01	.61	.52	
YBR255W		.96	1.04	.81	.71	1.47	1.05	
YBR256C	RIB5	1.18	1.64	1.45	1.09	2.78	1.61	
YBR257W		.93	1.32	.81	.69	1.37	.93	
YBR258C		1.05	1.04	.88	.73	1.33	.98	
YBR259W		1.06	1.05	.85	.74	.59	.56	
YBR260C		1.05	1.32	.93	.64	1.64	1.41	
YBR261C		.92	1.11	.79	.71	1.08	.67	
YBR262C		.83	1.1	1.04	.89	2.22	1.52	
YBR263W	SHMT1	.96	1.1	.74	.67	.72	.64	
YBR264C		.79	.99	.79	.58	.75	.63	
YBR265W		.93	1.16	.84	.66	.85	.82	
YBR266C		.78	1.05	.51	.45	.36	.34	
YBR267W		.76	.88	.53	.48	.55	.38	
YBR268W	MRPL37	1.01	1.1	1.08	1.11	1.22	.83	
YBR269C		.83	.92	1.1	1.27	2.86	2.08	
YBR270C		.96	1.25	.74	.89	1.52	1.37	
YBR271W		.83	1.23	.63	.62	1.16	.75	
YBR272C		.99	1.33	.87	1	1.61	1.47	
YBR273C		.71	1.43	.9	.8	1.59	1.28	
YBR274W		1.25	1.61	.89	.93	1.1	1.14	
YBR275C	RIF1	.82	.92	.77	.62	.69	.56	
YBR276C		1.35	1.04	.75	.92	.72	.69	
YBR277C		.85	1.05	.88	.84	1.32	1.01	
YBR278W	DPB3	1	1.11	.83	.98	1.25	1.19	
YBR279W	PAF1	1.14	.87	.7	.66	1.3	.91	
YBR280C		.83	1.03	.97	.76	4	2.22	
YBR281C		.97	1.1	.71	.63	.76	.57	
YBR282W	MRPL27	1.19	1.2	1.15	1.04	1.92	1.04	
YBR283C		1.06	1.61	.96	.77	.72	.61	
YBR284W		1.37	1.04	.9	.78	1.52	1.41	
YBR285W		1.3	1.12	.87	.7	2.86	1.89	
YBR286W	APE3	1.43	1.85	1.45	1.32	1.32	2.38	
YBR287W		.97	2.33	1.54	.97	3.33	2.08	
YBR288C		1.03	1.28	1.01	.81	.83	.72	
YBR289W	SNF5	1.52	1.01	.88	.81	.94	.88	
YBR290W	BSD2	.93	1.22	1.08	.88	2.44	1.41	
YBR291C		.86	.8	.57	.68	.65	.46	
YBR292C		.9	1.1	.81	.88	.79	.88	
YBR293W		.9	1.47	.95	.78	1.39	1.3	
YBR294W	SUL1	1.08	1.27	.81	.76	.98	1.15	
YBR295W	PCA1	1.09	1.14	.72	.79	.75	.68	
YBR296C		1.02	1.43	.57	.75	1.03	2.5	
YBR297W	MAL3R	.79	1.61	.8	.69	1.56	1.96	
YBR298C	MAL3T	.98	1.19	.81	.99	2.78	4.35	
YBR299W	MAL3S	.92	1.03	.88	.72	1.1	.85	
YBR300C		.88	.89	.66	.77	.72	.83	
YBR301W		.96	1.12	.69	.76	1.05	.8	
YBR302C		1.1	1.41	1.1	1.56	1.67	1.43	
YCL001w	RER1	1.23	1.03	.92	.86	.78	.63	
YCL002C		1.03	1.3	.96	.9	.87	.85	
YCL003w		1.09	1.05	.82	.71	1.04	1.12	
YCL004w	PEL1	1.09	1.05	.79	.69	1.1	1.18	
YCL005W		1.19	1.52	.81	.7	.99	.77	
YCL006C		1.39	1.01	.82	.71	.85	.92	
YCL007c	CWH36	1.25	1.28	.91	.85	.91	.8	
YCL008C		1.35	.91	.89	.63	.93	2.86	
YCL009C		1.19	.88	.71	.65	.64	.43	
YCL010C		1.33	1.09	.88	.69	1	1.08	
YCL011c	GBP2	.87	1.27	.9	.76	1.23	.47	
YCL012W		1.25	1.11	1.04	.8	.88	.76	
YCL013W		.84	.99	.83	.83	.69	.62	
YCL014w		.95	.89	.83	.89	.43	1.11	
YCL016C		.7	.99	.95	.83	1.96	1.09	
YCL017c	SPL1	1.27	1.11	.81	.82	.68	1.1	
YCL018w	LEU2	.93	1.49	.99	.8	1.33	.88	
YCL019W	TY2B	1.06	.93	.67	.93	.78	.61	
YCL020W	TY2A	1.3	1.08	.79	.65	.59	.55	
YCL021W		.98	.91	.78	.71	.79	.83	
YCL022C		.85	.88	.69	.75	.96	.64	
YCL023C		.78	.96	.76	.75	1.05	.98	
YCL024W		.78	1.01	.92	.82	1.2	.83	
YCL025C		.98	1.35	1.03	1.56	1.59	5.56	
YCL026C		.96	.79	.76	.63	.88	.56	
YCL027w	FUS1	1.37	1.43	1.2	.87	1.47	.95	
YCL028W		.89	1.14	.91	.83	1.19	.85	
YCL029c	BIK1	2.17	.95	.85	.72	.7	.61	
YCL030c	HIS4	1.47	1.82	1.75	2	.92	.56	
YCL031C		1.35	1.35	.81	.63	1	.75	
YCL032w	STE50	.86	1.08	1	.84	1.75	.85	
YCL033C		1.47	1.18	1.18	.96	2.17	1.69	
YCL034W		.85	1	.93	.84	1.61	.72	
YCL035C		1.25	1.45	1.59	1.2	5.88	2.86	
YCL036W		.81	.97	.93	.71	2.04	1.09	
YCL037c		1.3	.56	.52	.51	.57	.32	
YCL038C		1.12	1.09	1.08	1.08	1.45	.98	
YCL039W		.91	1.03	1.05	1.1	1.1	.94	
YCL040w	GLK1	.85	1.75	1.72	3.57	3.85	2.38	
YCL041C		1.02	.98	.94	1.06	1.19	.93	
YCL042W		.88	1.1	1.18	2.78	2.63	1.39	
YCL043c	PDI1	1.52	1.82	1.15	1.33	1.14	1.01	
YCL044C		.83	.93	.71	.72	1.1	1.52	
YCL045C		1.2	1.45	.82	.85	.74	.73	
YCL046W		.95	.86	.76	.65	.39	.38	
YCL047C		.88	1.27	.88	.81	1.2	.78	
YCL048W		.69	1.02	.66	.68	1.19	.93	
YCL049C		1	1.54	1.11	1.25	1.49	1.82	
YCL050c	APA1	.93	.75	.73	.57	.53	.26	
YCL051W		.95	1.23	1	.63	1.37	1.22	
YCL052c		.69	.99	.98	.74	1.85	1.12	
YCL053C		1.01	.9	.58	.67	.3	.25	
YCL054W		.9	1.1	.6	.53	.42	.24	
YCL055W		1.11	1.25	.83	.69	1.2	.78	
YCL056C		.78	.95	.79	.7	.65	.57	
YCL057w	PRD1	1.16	1.15	.78	.65	.92	.81	
YCL058C		.68	1.03	1	.81	.93	.91	
YCL059C		1.04	1.37	.62	.61	.79	.31	
YCL060C		.58	.98	.74	.63	1.32	.73	
YCL061C		1.35	.93	.81	.63	.65	.63	
YCL062W		.78	.71	.58	.54	.6	.37	
YCL063W		1.01	.77	.65	.74	.81	.54	
YCL064c	CHA1	.97	1.05	.69	.45	1.72	1.52	
YCL065W		.95	1.16	.85	.93	.88	.79	
YCL066w	HMLALPHA1	.66	.83	.75	.61	1.35	.84	
YCL067c	HMLALPHA2	1.05	1.23	1.06	1.27	1.69	1.67	
YCL068C		.79	.84	.75	.65	1.15	1	
YCL069W		.81	1.2	.7	.65	1.37	1.18	
YCL070/73C		1.05	1.27	1.19	1.12	1	.87	
YCL074W		.72	1.04	.72	.74	1.33	1.2	
YCL075W		.46	.93	.65	.51	1.27	.81	
YCL076W		.76	.85	.7	.78	1.18	1.12	
YCLX01W		.76	1.02	.88	.71	.82	.52	
YCLX02C		1.12	.82	.48	.48	.44	.24	
YCLX03C		.8	.83	.83	.7	1.02	.82	
YCLX04W		1.1	.74	.68	.6	.9	1.05	
YCLX05C		.96	1.14	.85	.77	1.15	.65	
YCLX06C		1.12	1.03	.92	.8	1.04	.9	
YCLX07W		.8	.76	.76	.56	1.19	.68	
YCLX08C		1.03	.9	.78	.64	1.03	.92	
YCLX09W		1.01	.93	.85	.79	.78	2.7	
YCLX10C		1.27	1.19	.99	.9	.99	1.47	
YCLX11W		.93	.94	.69	.63	.7	.52	
YCLX12W		1.25	1.27	.93	.71	1.05	.84	
YCR001W		.64	.9	.84	.73	.91	.81	
YCR002c	CDC10	1.22	1.14	.88	.93	1.32	.65	
YCR003w	MRPL32	.69	1.03	.88	.87	1.61	.87	
YCR004C	YCP4	1.25	1.47	1.23	1.52	2.44	1.72	
YCR005c	CIT2	.92	1.08	.77	.56	2.08	4.76	
YCR006C		.79	.85	.76	.79	1.14	1.25	
YCR007C		.62	.92	.84	.75	1.67	1.14	
YCR008W	SAT4	1.27	1.23	.95	.93	1.05	.86	
YCR009c	RVS161	.87	.91	.83	.88	.67	.63	
YCR010C		.78	1.18	.78	.75	1.45	6.25	
YCR011c	ADP1	1.22	1.14	1.35	1.33	1.67	1.49	
YCR012w	PGK1	1.12	1.69	1.54	1.39	1.09	.7	
YCR013C		1.14	1.15	1.09	1.15	1.09	.93	
YCR014c	POL4	1.18	1.33	.97	.66	1.32	1.3	
YCR015C		.74	1.35	1.14	.72	1.52	1.1	
YCR016W		1.11	1.49	.67	.65	.5	.34	
YCR017C		1.43	1.15	1.04	.8	.89	.82	
YCR018c	SRD1	1.16	1.04	.87	.81	.78	.9	
YCR019w	MAK32	.72	1.28	.81	.53	1.45	1	
YCR020c		.95	1.43	1.08	.93	1.43	1.2	
YCR020C-a	MAK31	.86	1	.74	.6	1.41	.96	
YCR021c	HSP30	1.01	3.7	2.94	1.82	12.5	10	
YCR022C		1.16	1.1	.96	.79	1.35	1.08	
YCR023C		1.09	1.82	1.54	1.08	2.08	1.92	
YCR024C		.77	.83	.75	.62	1.39	1.09	
YCR024c-a	PMP1	.84	.97	.9	.87	.93	.85	
YCR025C		.81	.8	.82	.66	1.11	.88	
YCR026C		.94	1.01	1.08	.99	1.32	1.39	
YCR027C		1.01	.99	.87	.86	.61	.56	
YCR028C	FEN2	1.03	1	.93	.82	.79	.76	
YCR029C		.73	.8	.85	.88	1.18	.74	
YCR029c-a	RIM1	.97	1	.85	.78	.64	.51	
YCR030C		.83	1.1	1.14	1.06	1.54	1.3	
YCR031c	CRY1	1.11	1.14	.85	.97	.54	.29	
YCR032W		1.08	1.06	.9	.86	.67	.59	
YCR033W		.88	1.03	.93	1.11	1.37	.92	
YCR034w	GNS1	1.11	1.89	1.01	.75	.54	.32	
YCR035C		.97	1.43	.86	.64	.82	.61	
YCR036w	RBK1	.99	1.52	1.12	.74	1.82	1.35	
YCR037c	PHO87	1	.96	.75	.64	.78	.99	
YCR038c	BUD5	1.19	.94	.73	.77	1.28	1.25	
YCR039c	MATALPHA2	1.59	1.3	1.19	1.11	2.78	2.33	
YCR040w	MATALPHA1	1.59	.86	.65	.6	1.15	1.03	
YCR041W		1.39	1.16	.85	.71	.79	.83	
YCR042c	TSM1	1.39	1	.88	.87	1.19	1.03	
YCR043C		1.04	1.27	.99	.92	.63	.48	
YCR044C		.99	1.72	1.06	.68	1.59	.81	
YCR045C		1.03	.98	.88	.86	1.25	.99	
YCR046C		.76	.85	.75	.85	1.75	.65	
YCR047C		.67	.68	.64	.87	.9	.79	
YCR048w	ARE1	.63	1.2	.68	.64	1.47	1.04	
YCR049C		.78	.79	.78	.82	1.03	.89	
YCR050C		.73	.9	.65	.68	.93	.76	
YCR051W		.89	1.06	.66	.89	1.09	1.22	
YCR052w		.72	1.18	.71	.74	1.27	.92	
YCR053w	THR4	1.05	.99	.49	.63	.37	.31	
YCR054C	CTR86	.74	.82	.44	.5	1.08	.4	
YCR055C		1.05	1.2	.57	.52	.49	.47	
YCR056W		.81	.98	.56	.58	.93	.45	
YCR057c	PWP2	1.11	1.1	.54	.46	.52	.74	
YCR058C		1.32	.79	.53	.54	.4	.3	
YCR059C		1.16	1.12	.74	.63	.72	.7	
YCR060W		1.85	.98	.82	.78	.91	.76	
YCR061W		1.1	1.47	1.03	1.04	2.5	2.04	
YCR062W		2.63	1.33	.97	.85	1.2	2.78	
YCR063W		1.18	.82	.68	.61	.99	1.08	
YCR064C		1.96	.95	.87	.81	.75	.75	
YCR065w	HCM1	.99	.72	.5	.45	.37	.38	
YCR066w	RAD18	.92	1.12	.67	.53	1.61	1.06	
YCR067c	SED4	1.35	1	.82	.86	.66	.85	
YCR068W		.99	1.15	.64	.62	1.33	1.11	
YCR069w	SCC3	1.12	1.14	1.05	1.14	1.45	1.39	
YCR070w		1.08	1.25	.95	1.02	1.47	1.11	
YCR071C		.93	.92	.85	1.08	1.27	1.11	
YCR072C		.93	1.15	.61	.63	.96	.68	
YCR073C	SSK22	.94	.96	.82	.84	.8	.93	
YCR074C		1.05	1.09	.99	.9	.96	.96	
YCR075c	ERS1	.91	1.16	1.01	1.25	1.47	1.22	
YCR076C		.79	1.01	.66	.79	1.67	.84	
YCR077C		1.11	1.35	.71	.68	.77	.9	
YCR079W		.65	1.23	.69	.8	1.92	1.35	
YCR080W		.85	.7	.64	.81	.56	1.08	
YCR081w	SRB8	.88	.86	.78	.83	.86	.85	
YCR082W		.93	.96	1.1	.92	1.79	1.45	
YCR083W		1.64	1	.78	.76	1.54	.87	
YCR084c	TUP1	1	1.28	.84	.66	.64	.68	
YCR085W		1.92	.91	.75	.67	.85	.79	
YCR086W		1.11	1.01	.84	.67	1.14	.86	
YCR087W		1.67	1.16	.9	.77	.71	.61	
YCR088w	ABP1	1.08	1.19	.98	.81	1.64	.93	
YCR089W		1.72	1.03	.75	.57	.6	.64	
YCR090C		1.35	1.23	1.04	.83	.85	.72	
YCR091w	KIN82	1.03	.88	1.02	.84	2.78	2.04	
YCR092c	MSH3	.87	1.11	.88	.76	.85	.79	
YCR093w	CDC39	1.92	.86	.86	.88	.96	.71	
YCR094W		1.03	1.18	.98	.7	.94	.76	
YCR095C		.66	1.03	.92	.76	1.52	.92	
YCR096c	HMRA2	.85	1	.83	1.32	1.56	1.72	
YCR097wa		.85	1	.93	.87	1.1	1.03	
YCR097wb		.93	1.16	.94	1.45	1.96	2.5	
YCR098c		.58	.99	.6	.54	1.2	.9	
YCR099C		.88	.95	.71	1.08	1.18	1.03	
YCR100C		.72	.82	.62	.56	1.28	.68	
YCR101C		.96	.91	.81	.79	1.15	1.1	
YCR102C		.69	.78	.59	.56	1.3	1.25	
YCR103C		1.09	1.16	.74	.8	.83	.65	
YCR104w		.94	1.02	.91	.85	.94	.58	
YCR105W		.83	1.27	1.43	.81	1.43	1.22	
YCR106W		1.03	1.02	.65	.61	.81	.72	
YCR107W		1.02	1.2	.74	.65	1.12	1.12	
YCRX01W		1.35	.88	1.03	.93	.83	1.05	
YCRX02C		1	1.3	1.11	.91	1.41	1.04	
YCRX03C		.94	.83	.91	.76	1.02	.67	
YCRX04W		1.05	1.14	.93	.69	.68	.48	
YCRX05W		1.05	1.03	.85	.75	.86	.78	
YCRX06W		1.23	1.08	.97	.74	.88	.84	
YCRX07W		.96	.96	.68	.62	.91	.58	
YCRX08W		1.41	1.18	.94	.67	.81	.88	
YCRX09C		1.04	.78	.71	.75	.85	.65	
YCRX10W		1.12	1.27	1.05	.98	.75	.74	
YCRX11W		.95	1.02	.89	.8	.53	.5	
YCRX12W		.84	1.05	.85	.73	.88	.9	
YCRX13w	SOL2	.72	.83	.74	.78	2.04	1.03	
YCRX14W		.93	1.22	.79	.8	.83	.63	
YCRX15W		.82	.86	.83	.78	1.25	.77	
YCRX16C		1.06	1.45	1.02	.85	.78	.36	
YCRX17W		.81	.83	.76	.84	1.22	.67	
YCRX18C		.98	1.19	.85	.75	.88	.94	
YCRX19W		.79	.87	.83	.75	.79	.61	
YCRX20C		.83	.76	.67	.71	.66	.66	
YCRX21C		.92	.91	.75	.79	1.56	1.49	
YDL001W		.94	1.23	.89	.83	1.28	1	
YDL002C	NHP10	.87	1.2	1.02	.94	1.85	.8	
YDL003W	RHC21	1.05	1.3	1	.62	.73	.48	
YDL004W	ATP14	.97	1.15	1.3	1.45	3.33	2.33	
YDL005c		1.05	.97	.79	.74	1.43	1.15	
YDL006W	PTC1	.74	1.1	1.08	.74	1.41	.72	
YDL007W	YTA5	1.16	1.23	.96	.78	2.04	1.12	
YDL008w		1.05	1.01	.88	.83	1.18	.67	
YDL009c		1	1.33	1.09	1.01	1.22	1.33	
YDL010w		.86	.99	1.08	.98	.96	1.18	
YDL011c		1.06	1.12	1.02	.8	1.04	1.3	
YDL012c		.87	.84	.79	.74	.81	.58	
YDL013W	HEX3	.96	1.03	.85	.75	1.35	1.1	
YDL014W	NOP1	.79	1	.7	.69	.43	.37	
YDL015c		1.25	1.45	1.16	1.22	1.41	.74	
YDL016c		.75	.98	.85	.85	.85	.58	
YDL017W	CDC7	1.25	1.47	1.11	1.25	1.18	.83	
YDL018c		.6	.85	.95	.93	1.37	.76	
YDL019c		.96	1.18	1.23	1.23	1.28	.92	
YDL020C	SON1	.72	.75	.7	.65	2.27	2	
YDL021W	GPM2	.95	1.43	1.82	2.04	3.03	2.44	
YDL022w	GPD1	1.05	1.12	1.96	1.89	4.17	3.13	
YDL023c		1.15	.95	1.82	1.96	3.13	3.03	
YDL024c		.49	.97	.68	.64	1.39	1.22	
YDL025c		1.1	1.33	1.22	1.41	1.79	1.89	
YDL026w		1.01	.85	.96	.85	1.11	1.16	
YDL027c		.87	.9	.96	.76	1.52	1.96	
YDL028C	MPS1	1.15	.89	.83	.69	.85	.67	
YDL029W	ACT2	1.02	1.05	1.01	.93	1.47	.91	
YDL030W	PRP9	1.32	.96	.83	.67	.88	.72	
YDL031w		1.3	1.04	.73	.69	.83	.65	
YDL032w		.98	.96	.85	.78	.83	.78	
YDL033c		1.64	1.01	.95	.58	.92	1.59	
YDL034w		1.12	1.04	.93	.85	.92	.87	
YDL035c		1.33	1.03	.91	.74	.88	.98	
YDL036c		1.11	1.23	.93	.75	.78	.57	
YDL037c		2.17	.97	.33	.31	.31	.27	
YDL038c		1.09	1.1	.7	.65	.53	.46	
YDL039c		1.1	1.16	.6	.61	.58	.45	
YDL040C	NAT1	1.08	.95	.78	.77	.54	.37	
YDL041w		.88	.77	.68	.7	.68	.63	
YDL042C	SIR2	.77	.69	.54	.53	.43	.46	
YDL043C	PRP11	.93	1.09	.97	.85	.84	.69	
YDL044c	NAM1	.75	.98	.87	.76	1.03	.79	
YDL045C	FAD1	.93	.98	1.08	1	1.35	1.03	
YDL046w		.91	1.22	1.2	1.32	2.56	1.39	
YDL047W	SIT4	.91	.81	.68	.74	.93	.69	
YDL048c		1.33	2.27	1.41	1.45	1.75	1.59	
YDL049C	KNH1	.88	.96	.88	1.04	1.15	1.33	
YDL050c		1.05	1.14	.72	.63	.34	.3	
YDL051W	LHP1	1.39	1.18	.7	.56	.39	.36	
YDL052C	SLC1	1.43	.93	.82	.68	.37	.36	
YDL053c		1.22	1.14	.92	.88	.92	1.18	
YDL054c		1.72	1.22	.99	.75	1.25	1.37	
YDL055C	PSA1	1.15	1.18	1.14	.95	.61	.31	
YDL056W	MBP1	1.27	.91	.82	.69	.93	.74	
YDL057w		1.39	.99	.93	.67	1.39	1.25	
YDL058W	USO1	1.27	1.09	.93	.83	.79	.98	
YDL059C	RAD59	1.79	.88	.77	.78	1.03	.96	
YDL060w		1.06	1.12	.75	.69	.4	.29	
YDL061C	YS29B	1.01	1.19	.94	.88	.54	.28	
YDL062w		1	.81	.56	.53	.55	.34	
YDL063c		.98	.83	.53	.48	.35	.24	
YDL064w		.83	.79	.65	.67	.57	.33	
YDL065c		.85	.94	.88	1.23	.98	1	
YDL066W	IDP1	.93	.81	.88	.97	1.45	1.52	
YDL067C	COX9	.88	1.14	1.12	1.27	1.92	2.27	
YDL068w		1.04	1	1.01	.82	1.09	.83	
YDL069C	CBS1	.68	.79	.74	.78	.69	.49	
YDL070w		1.09	1.1	.97	.92	.51	.61	
YDL071c		.95	1.01	.83	.85	.75	.74	
YDL072c		1.1	1.28	1.39	1.41	2.7	1.35	
YDL073w		.88	.92	.77	.8	.5	.51	
YDL074c		1.52	1.15	.93	.88	.85	.6	
YDL075W	RPL43A	1.08	1.22	.94	.77	.49	.24	
YDL076c		2.04	.79	.81	.7	.97	.61	
YDL077c		1.59	1.1	.83	.78	.83	.78	
YDL078C	MDH3	1.61	.99	.98	.88	1.64	1.41	
YDL079C	MRK1	2.04	1.09	.93	.99	3.33	1.92	
YDL080c		1.49	1.06	.88	.71	.97	.86	
YDL081C	RPLA1	1.05	1.3	1.08	1.1	.8	.31	
YDL082w		1.01	.92	.78	.71	.3	.24	
YDL083C		.82	.88	.64	.57	.44	.19	
YDL084w		1.19	.97	.78	.74	.41	.36	
YDL085w		2	1.04	.92	.83	4.17	7.14	
YDL086w		.92	1.1	.86	.91	1.19	.88	
YDL087c		.85	.9	1.02	.8	1.03	.89	
YDL088C	ASM4	.92	.9	.75	.62	.73	.64	
YDL089w		.78	.71	.71	.79	1.41	1.27	
YDL090C	RAM1	.8	.88	.8	.71	1.02	.83	
YDL091c		.88	.92	1	1.19	2.63	2.33	
YDL092W	SRP14	.88	1.03	.9	.88	1.19	.61	
YDL093W	PMT5	1	1	.9	.89	.56	.75	
YDL094c		.85	.96	.87	.79	.53	.46	
YDL095W	PMT1	1.23	1.14	.91	1.02	.43	.56	
YDL096c		1.06	.94	.86	.88	.48	.54	
YDL097c		.89	.93	.74	.83	2.04	1.22	
YDL098c		1.96	.97	.87	.76	.67	.62	
YDL099w		1.64	.95	.73	.75	1.11	.82	
YDL100c		1.19	.98	.89	.78	.85	.51	
YDL101C	DUN1	2.04	.92	.88	.8	.78	.78	
YDL102W	POL3	1.67	.93	.83	.72	.67	.66	
YDL103C	QRI1	1.79	1.01	1.02	.99	1.33	.79	
YDL104C	QRI7	1.72	.97	1.02	.84	.92	.79	
YDL105W	QRI2	2.17	.97	.8	.74	1.01	1.01	
YDL106C	GRF10	1.47	.9	.79	.75	1.14	1.03	
YDL107W	MSS2	1.49	1.12	.88	.96	1.75	1.22	
YDL108W	KIN28	1.22	1.14	.93	.8	1.04	.74	
YDL109c		1.47	1.03	.79	.81	.92	1	
YDL110c		1.05	1.11	.89	.82	.84	.74	
YDL111c		.86	.81	.63	.61	.44	.48	
YDL112w		.93	1.01	.84	.74	.64	.63	
YDL113c		.93	.96	.9	.93	1.23	1.2	
YDL114w		.68	.9	.85	.63	.98	.78	
YDL115c		.81	.96	.79	.9	1.96	1.54	
YDL116W	NUP84	1	.99	.85	.81	.82	.64	
YDL117w		.95	.78	.58	.64	.53	.64	
YDL118w		.93	1.02	.88	.58	.76	.67	
YDL119c		.88	.76	.89	.74	.85	.82	
YDL120w		.86	.93	.89	.63	.77	.83	
YDL121c		.89	1.04	.71	.9	.42	.64	
YDL122W	UBP1	1.08	.94	.84	.64	.46	.43	
YDL123w		1.41	1.1	.89	.79	.95	1.56	
YDL124w		.92	.96	1.43	1.49	3.7	1.59	
YDL125c	HIT1	1.28	1.52	1.25	1.1	1.35	1.14	
YDL126C	CDC48	1.35	1.43	1.37	1.2	1.45	1	
YDL127w		1.25	.66	.64	.75	.74	.53	
YDL128W	HUM1	1.18	1.39	1.16	1.18	1.69	1.11	
YDL129w		1.08	.99	.72	.76	1.1	.92	
YDL130W	RPLA3	.94	1.18	1.04	1.03	.65	.21	
YDL131w		.97	.68	.45	.75	.26	.36	
YDL132w		1.19	.92	1.01	.79	.75	.72	
YDL133w		1.25	.79	.84	.68	.86	.8	
YDL134C	PPH21	1.01	.79	.67	.81	.85	.5	
YDL135C	RDI1	.94	1.22	1.04	1.12	1.59	.91	
YDL136w		.99	.97	.78	.86	.34	.17	
YDL137W	ARF2	1.2	1.33	1.22	1.56	1.39	.8	
YDL138w	RGT2	.81	.8	.68	.66	.65	.52	
YDL139c		.87	1.08	.83	1.01	1.59	.98	
YDL140C	RPO21	1.01	.83	.65	.66	.5	.49	
YDL141W	BPL1	1.19	1.49	.77	.72	1.04	.8	
YDL142c		.78	.83	.83	.79	1.79	.78	
YDL143W	CCT4	1.09	.98	.75	.77	.65	.38	
YDL144c		.9	.9	.85	.83	.71	.63	
YDL145C	RET1	1.15	.94	.86	.83	.49	.5	
YDL146w		1.33	1.14	1.01	.92	.9	.76	
YDL147w		1.23	1.41	1.18	.79	1.85	1.39	
YDL148c		.99	1.25	.56	.51	.38	.21	
YDL149w		1.27	1.75	1.45	1.37	1.69	1.64	
YDL150W	RPC53	1.05	1.03	.74	.63	.7	.46	
YDL151c		1.25	.81	.65	.59	.48	.38	
YDL152w		1.16	1.15	.6	.55	.46	.28	
YDL153c		1.14	1.28	.59	.51	.37	.29	
YDL154W	MSH5	1.12	.78	.79	.69	1.92	1.75	
YDL155W	CLB3	1.14	.96	.88	.69	.89	.62	
YDL156w		1.33	.86	.7	.61	.75	.52	
YDL157c		1.19	1.35	1.08	1	1.11	.61	
YDL158c		.85	.88	.86	.85	.7	.68	
YDL159W	STE7	.95	1.3	.85	.74	1.41	1.15	
YDL160C	DHH1	.85	1.05	.71	.66	1.05	.81	
YDL161w		1.04	1.41	.86	1.03	1.39	1.18	
YDL162c		.89	.84	.79	.71	.81	.97	
YDL163w		.88	.88	.77	.75	.83	.59	
YDL164C	CDC9	1.04	.98	.71	.65	.97	1.28	
YDL165W	CDC36	.85	.87	.81	.86	.95	.68	
YDL166c		.85	1.02	.84	.88	.88	.52	
YDL167C	ARP1	1.06	1.01	.66	.65	.3	.27	
YDL168W	SFA1	.95	.85	.75	.73	.98	1.03	
YDL169C	UGX2	.58	.84	.74	.85	3.13	2.94	
YDL170W	UGA3	1.43	.81	.67	.62	1.3	.99	
YDL171c	GLT1	1.82	1.03	.99	.76	.54	.63	
YDL172c		1.09	1.03	.9	.79	1.18	.79	
YDL173w		1.18	.97	.85	.8	1.19	.94	
YDL174C	DLD1	1.15	1.02	.95	.9	1.11	1.69	
YDL175c		1.54	.93	.85	.69	1.02	1	
YDL176w		.93	1.16	.93	.74	1.27	.75	
YDL177c		2.04	1.15	.81	.73	.93	1.33	
YDL178W	AIP2	1.18	1.18	1.23	.98	1.64	.95	
YDL179w		1.3	.75	.66	.61	.69	.46	
YDL180w		1.16	.98	.94	.82	.85	1.01	
YDL181W	INH1	1.32	1.33	1.59	1.16	2.78	3.33	
YDL182w		.69	.53	.39	.37	.27	.25	
YDL183c		.85	.93	.72	.89	1.37	1.69	
YDL184C	RPL47A	.93	1.33	1.15	1.15	.55	.36	
YDL185W	TFP1	1.61	1.75	1.27	1.32	.87	.9	
YDL186w		.72	1.11	.89	.7	1.45	.74	
YDL187c		.81	.97	.83	.69	1.02	.82	
YDL188C	PPH22	1.01	1.19	.88	.8	1.05	.9	
YDL189w		1.11	1.33	.85	.8	1.25	.93	
