# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0080	fruR	-0.172572276	0.033955569	0.156301053	0.040558639	0.010243212	0.160340492	0.106516178	0.114038	-0.274624143	-0.058917736	0.246948082	-0.357214443	-0.009903462	0.086391902	-0.146377062	0.215920416	-0.073382114
b0081	yabB	-0.369075743	-0.27780644	0.080191561	0.085034855	-0.102349692	-0.059116992	-0.233694907	0.009438303	0.686444483	0.395970174	0.390824409	0.073252118	-0.275423489	-0.309575272	0.13068035	0.320272937	0.113083874
b0082	yabC	-0.07209727	-0.016365005	0.075341703	0.08953546	-0.074851206	0.032665571	0.100890979	-0.291790483	-0.007956499	-0.189842782	-0.272756704	-0.69300925	-0.504051914	-0.50702443	-0.297994439	-0.016961322	-0.141170855
b0083	ftsL	-0.383628652	-0.327298713	0.421360143	0.335653625	-0.257064358	0.375903928	-0.502081188	0.150736664	0.234185762	-0.191022019	0.676369173	-0.083569569	0.159341742	0.476579275	0.39670084	0.764568727	1.082336224
b0084	ftsI	-0.089095556	-0.027836392	0.112258653	0.29740698	1.340782718	0.855822362	0.760813221	0.367078299	0.883571431	0.413185882	-0.337911939	-0.512892473	-0.580635554	-0.709949134	-0.690696708	-0.390940295	-0.662028727
b0085	murE	-0.344147668	0.350600953	0.435786007	0.751675755	-0.482927941	0.110165337	0.228917833	0.634071802	-0.120683997	-1.296113196	0.196291752	-0.315566259	0.170278972	0.619630142	0.06996574	-1.649459486	0.632145756
b0086	murF	-0.346543344	-0.236159411	0.150852949	0.067366236	-0.232743789	-0.231535697	-0.19262963	-0.134876748	-0.163549355	-0.087488356	0.227124951	-0.270894207	-0.34795793	-0.259207395	-0.054690008	0.032203423	-0.213561128
b0087	mraY	-0.61230942	0.430243855	0.404299271	0.78718278	0.315951104	-0.046945957	-0.06677293	-0.721996842	-0.541122869	-0.686874808	-0.748676999	-0.67983044	-0.678740425	-0.628150049	-0.110694545	-0.12408118	-0.649433166
b0088	murD	-0.093033942	0	0	0	0	0.129742698	0.0599969	0.219225877	0	0	0	0	-0.007971788	0	0	0	0
b0089	ftsW	-0.221393675	-0.092105684	0.079231326	0.001452805	-0.098284683	-0.019909288	0	0	0.006250595	0.044106032	0	-0.059267797	-0.136331521	-0.047580986	0.212816431	0.05863971	-0.001934719
