GB_GI	GB_accession	Clone_name
2516184	B30218.1	T30E23
2516185	B30219.1	T30F20
2516189	B30223.1	T30G18
2516190	B30224.1	T30H15
2516194	B30228.1	T30J24
2516217	B30251.1	T31K12
2627498	B60990.1	T17M1
2627499	B60991.1	T17M5
2627500	B60992.1	T17M5
2627528	B61020.1	T18A5
2627529	B61021.1	T18A5
2627535	B61027.1	T18B1
2627536	B61028.1	T18B1
2627563	B60720.1	T18E8
2627564	B60721.1	T18E8
2627575	B60732.1	T18G1
2627602	B60759.1	T18L1
2627609	B60766.1	T18M3
2627632	B60878.1	T19A1
2627633	B60879.1	T19A1
2627656	B60902.1	T19C8
2627657	B60903.1	T19C8
2627664	B60910.1	T19D4
2627705	B60951.1	T19H8
2627706	B60952.1	T19H8
2627731	B60800.1	T19J6
2627732	B60801.1	T19J6
2627767	B60836.1	T19M8
2627768	B60837.1	T19M8
2627772	B60841.1	T19N3
2627773	B60842.1	T19N3
2627784	B60853.1	T19O6
2627794	B60863.1	T19P9
2627814	B61052.1	T20E3
2627815	B61053.1	T20E3
2627827	B61065.1	T20F8
2627828	B61066.1	T20F8
2627878	B61116.1	T20L2
2627879	B61117.1	T20L2
2627885	B61123.1	T20M1
2627886	B61124.1	T20M1
2627904	B61142.1	T20N8
2627905	B61143.1	T20N8
